Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
Sumatera,1993,10511106,2800914,23250.5,678.85,208.24
Sumatera,1994,10434879,2787317,18249.5,650,207.36
Sumatera,1995,11277878,3003658,25122.5,672.07,209.15
Sumatera,1996,11653900,3068025,20798,670.48,207.14
Sumatera,1997,11069582,2897067,12668.2,657.63,209.43
Sumatera,1998,11736390,3162059,23338.9,673.24,212.09
Sumatera,1999,11816051,3087066,21820.8,665.27,205.21
Sumatera,2000,11901379,3055386,16998.3,679.85,212.14
Sumatera,2001,11571056,2889462,20912.5,576.57,224.61
Sumatera,2002,11531731,2946003,20238.9,569.02,227.09
Sumatera,2003,11823024,3050229,23291.7,567.45,236
Sumatera,2004,12445839,3153142,20691.7,653.28,234.55
Sumatera,2005,12655694,3116480,12377.7,656.83,212.47
Sumatera,2006,12001280,2962468,6783.4,643.3,214.43
Sumatera,2007,12841479,3171934,21322.4,663.7,213.78
Sumatera,2008,13581940,3143231,19542.9,658,212.8
Sumatera,2009,14652674,3322406,22169,656.4,214.9
Sumatera,2010,15382976,3371152,25642.3,659.5,215.46
Sumatera,2011,15670413,3422352,19596.2,614.72,214.65
Sumatera,2012,15782225,3478757,20435,644.3,214.5
Sumatera,2013,17093915,3507538,23446.1,654.63,214.4
Sumatera,2014,16604009,3455883,18048.6,648.15,213.8
Sumatera,2015,17956252,3688970,16086.3,655.1,217
Sumatera,2016,19365875.9,2196749,20438.8,654.37,212.4
Sumatera,2017,20586773.5,2200776,23089.4,655.45,209.15
Sumatera,2018,11764423.68,2367800.51,15493.63,637.64,210.56
Sumatera,2019,10881099.49,2235329.83,16620.3,669.79,214.53
Sumatera,2020,11631123.08,2312238.25,20884.4,646.92,205.8
